t,y
9.170000,0.967719
9.180000,0.970191
9.190000,0.972566
9.200000,0.974844
9.210000,0.977024
9.220000,0.979106
9.230000,0.981091
9.240000,0.982977
9.250000,0.984765
9.260000,0.986455
9.270000,0.988046
9.280000,0.989538
9.290000,0.990931
9.300000,0.992225
9.310000,0.993420
9.320000,0.994516
9.330000,0.995512
9.340000,0.996409
9.350000,0.997205
9.360000,0.997903
9.370000,0.998500
9.380000,0.998998
9.390000,0.999395
9.400000,0.999693
9.410000,0.999891
9.420000,0.999989
9.430000,0.999986
9.440000,0.999884
9.450000,0.999682
9.460000,0.999380
9.470000,0.998978
9.480000,0.998476
9.490000,0.997874
9.500000,0.997172
9.510000,0.996371
9.520000,0.995470
9.530000,0.994469
9.540000,0.993369
9.550000,0.992170
9.560000,0.990871
9.570000,0.989474
9.580000,0.987977
9.590000,0.986382
9.600000,0.984688
9.610000,0.982895
9.620000,0.981005
9.630000,0.979016
9.640000,0.976929
9.650000,0.974745
9.660000,0.972463
9.670000,0.970083
9.680000,0.967607
9.690000,0.965034
9.700000,0.962365
9.710000,0.959599
9.720000,0.956738
9.730000,0.953780
9.740000,0.950728
9.750000,0.947580
9.760000,0.944337
9.770000,0.941000
9.780000,0.937569
9.790000,0.934044
9.800000,0.930426
9.810000,0.926715
9.820000,0.922911
9.830000,0.919015
9.840000,0.915027
9.850000,0.910947
9.860000,0.906776
9.870000,0.902515
9.880000,0.898163
9.890000,0.893722
9.900000,0.889191
9.910000,0.884571
9.920000,0.879863
9.930000,0.875067
9.940000,0.870183
9.950000,0.865213
9.960000,0.860155
9.970000,0.855012
9.980000,0.849783
9.990000,0.844470
10.000000,0.839072
10.010000,0.833589
10.020000,0.828024
10.030000,0.822376
10.040000,0.816645
10.050000,0.810833
10.060000,0.804940
10.070000,0.798966
10.080000,0.792913
10.090000,0.786780
10.100000,0.780568
10.110000,0.774279
10.120000,0.767911
10.130000,0.761468
10.140000,0.754948
10.150000,0.748352
10.160000,0.741682
10.170000,0.734937
10.180000,0.728119
10.190000,0.721229
10.200000,0.714266
10.210000,0.707231
10.220000,0.700126
10.230000,0.692951
10.240000,0.685707
10.250000,0.678394
10.260000,0.671013
10.270000,0.663565
10.280000,0.656051
10.290000,0.648471
10.300000,0.640826
10.310000,0.633118
10.320000,0.625346
10.330000,0.617511
10.340000,0.609615
10.350000,0.601657
10.360000,0.593640
10.370000,0.585563
10.380000,0.577427
10.390000,0.569234
10.400000,0.560984
10.410000,0.552678
10.420000,0.544317
10.430000,0.535901
10.440000,0.527431
10.450000,0.518909
10.460000,0.510335
10.470000,0.501710
10.480000,0.493035
10.490000,0.484310
10.500000,0.475537
10.510000,0.466716
10.520000,0.457849
10.530000,0.448936
10.540000,0.439978
10.550000,0.430976
10.560000,0.421931
10.570000,0.412844
10.580000,0.403715
10.590000,0.394547
10.600000,0.385338
10.610000,0.376091
10.620000,0.366807
10.630000,0.357486
10.640000,0.348129
10.650000,0.338737
10.660000,0.329311
10.670000,0.319853
10.680000,0.310362
10.690000,0.300841
10.700000,0.291289
10.710000,0.281709
10.720000,0.272100
10.730000,0.262463
10.740000,0.252801
10.750000,0.243113
