y0,y1,
3.761607e-02,-3.880358e-01,
3.370318e-02,-3.884088e-01,
2.978653e-02,-3.887430e-01,
2.586651e-02,-3.890383e-01,
2.194351e-02,-3.892948e-01,
1.801793e-02,-3.895124e-01,
1.409015e-02,-3.896911e-01,
1.016057e-02,-3.898308e-01,
6.229581e-03,-3.899316e-01,
2.297575e-03,-3.899934e-01,
-1.635054e-03,-3.900162e-01,
-5.567913e-03,-3.899999e-01,
-9.500608e-03,-3.899447e-01,
-1.343275e-02,-3.898505e-01,
-1.736393e-02,-3.897173e-01,
-2.129378e-02,-3.895451e-01,
-2.522189e-02,-3.893339e-01,
-2.914787e-02,-3.890838e-01,
-3.307132e-02,-3.887948e-01,
-3.699187e-02,-3.884669e-01,
-4.090910e-02,-3.881001e-01,
-4.482264e-02,-3.876945e-01,
-4.873209e-02,-3.872502e-01,
-5.263706e-02,-3.867671e-01,
-5.653715e-02,-3.862453e-01,
-6.043198e-02,-3.856849e-01,
-6.432117e-02,-3.850859e-01,
-6.820431e-02,-3.844485e-01,
-7.208103e-02,-3.837726e-01,
-7.595093e-02,-3.830584e-01,
-7.981362e-02,-3.823059e-01,
-8.366873e-02,-3.815152e-01,
-8.751587e-02,-3.806863e-01,
-9.135465e-02,-3.798195e-01,
-9.518468e-02,-3.789148e-01,
-9.900560e-02,-3.779722e-01,
-1.028170e-01,-3.769919e-01,
-1.066185e-01,-3.759740e-01,
-1.104098e-01,-3.749186e-01,
-1.141904e-01,-3.738258e-01,
-1.179600e-01,-3.726958e-01,
-1.217182e-01,-3.715286e-01,
-1.254646e-01,-3.703244e-01,
-1.291989e-01,-3.690833e-01,
-1.329207e-01,-3.678055e-01,
-1.366296e-01,-3.664911e-01,
-1.403252e-01,-3.651402e-01,
-1.440072e-01,-3.637530e-01,
-1.476753e-01,-3.623297e-01,
-1.513289e-01,-3.608704e-01,
-1.549679e-01,-3.593752e-01,
-1.585918e-01,-3.578443e-01,
-1.622002e-01,-3.562780e-01,
-1.657929e-01,-3.546763e-01,
-1.693694e-01,-3.530394e-01,
-1.729294e-01,-3.513676e-01,
-1.764725e-01,-3.496610e-01,
-1.799984e-01,-3.479197e-01,
-1.835068e-01,-3.461440e-01,
-1.869972e-01,-3.443341e-01,
-1.904695e-01,-3.424901e-01,
-1.939231e-01,-3.406123e-01,
-1.973577e-01,-3.387009e-01,
-2.007731e-01,-3.367560e-01,
-2.041689e-01,-3.347780e-01,
-2.075448e-01,-3.327669e-01,
-2.109004e-01,-3.307230e-01,
-2.142353e-01,-3.286466e-01,
-2.175493e-01,-3.265378e-01,
-2.208421e-01,-3.243969e-01,
-2.241132e-01,-3.222241e-01,
-2.273625e-01,-3.200196e-01,
-2.305895e-01,-3.177837e-01,
-2.337940e-01,-3.155166e-01,
-2.369756e-01,-3.132186e-01,
-2.401341e-01,-3.108899e-01,
-2.432690e-01,-3.085307e-01,
-2.463802e-01,-3.061413e-01,
-2.494673e-01,-3.037220e-01,
-2.525300e-01,-3.012729e-01,
-2.555679e-01,-2.987944e-01,
-2.585809e-01,-2.962867e-01,
-2.615686e-01,-2.937501e-01,
-2.645308e-01,-2.911849e-01,
-2.674670e-01,-2.885912e-01,
-2.703771e-01,-2.859695e-01,
-2.732608e-01,-2.833199e-01,
-2.761178e-01,-2.806427e-01,
-2.789477e-01,-2.779382e-01,
-2.817504e-01,-2.752067e-01,
-2.845255e-01,-2.724484e-01,
-2.872729e-01,-2.696638e-01,
-2.899921e-01,-2.668529e-01,
-2.926830e-01,-2.640162e-01,
-2.953453e-01,-2.611538e-01,
-2.979787e-01,-2.582662e-01,
-3.005830e-01,-2.553536e-01,
-3.031580e-01,-2.524163e-01,
-3.057033e-01,-2.494545e-01,
-3.082188e-01,-2.464687e-01,
-3.107041e-01,-2.434590e-01,
-3.131591e-01,-2.404259e-01,
-3.155835e-01,-2.373695e-01,
-3.179771e-01,-2.342903e-01,
-3.203397e-01,-2.311884e-01,
-3.226709e-01,-2.280643e-01,
-3.249707e-01,-2.249182e-01,
-3.272387e-01,-2.217505e-01,
-3.294748e-01,-2.185614e-01,
-3.316788e-01,-2.153514e-01,
-3.338503e-01,-2.121206e-01,
-3.359893e-01,-2.088694e-01,
-3.380955e-01,-2.055982e-01,
-3.401688e-01,-2.023072e-01,
-3.422088e-01,-1.989968e-01,
-3.442154e-01,-1.956674e-01,
-3.461885e-01,-1.923191e-01,
-3.481278e-01,-1.889524e-01,
-3.500332e-01,-1.855676e-01,
-3.519044e-01,-1.821651e-01,
-3.537414e-01,-1.787450e-01,
-3.555438e-01,-1.753079e-01,
-3.573116e-01,-1.718539e-01,
-3.590445e-01,-1.683835e-01,
-3.607425e-01,-1.648970e-01,
-3.624053e-01,-1.613947e-01,
-3.640327e-01,-1.578770e-01,
-3.656247e-01,-1.543441e-01,
-3.671811e-01,-1.507964e-01,
-3.687017e-01,-1.472344e-01,
-3.701864e-01,-1.436582e-01,
-3.716350e-01,-1.400683e-01,
-3.730475e-01,-1.364649e-01,
-3.744236e-01,-1.328485e-01,
-3.757632e-01,-1.292194e-01,
-3.770662e-01,-1.255779e-01,
-3.783325e-01,-1.219243e-01,
-3.795620e-01,-1.182591e-01,
-3.807545e-01,-1.145825e-01,
-3.819099e-01,-1.108949e-01,
-3.830282e-01,-1.071966e-01,
-3.841091e-01,-1.034881e-01,
-3.851527e-01,-9.976956e-02,
-3.861587e-01,-9.604143e-02,
-3.871272e-01,-9.230404e-02,
-3.880580e-01,-8.855773e-02,
-3.889510e-01,-8.480287e-02,
-3.898061e-01,-8.103979e-02,
-3.906233e-01,-7.726885e-02,
-3.914025e-01,-7.349040e-02,
-3.921435e-01,-6.970480e-02,
-3.928464e-01,-6.591239e-02,
-3.935111e-01,-6.211352e-02,
-3.941374e-01,-5.830856e-02,
-3.947254e-01,-5.449785e-02,
-3.952749e-01,-5.068174e-02,
-3.957860e-01,-4.686060e-02,
-3.962585e-01,-4.303476e-02,
-3.966925e-01,-3.920460e-02,
-3.970878e-01,-3.537046e-02,
-3.974445e-01,-3.153269e-02,
-3.977625e-01,-2.769166e-02,
-3.980417e-01,-2.384772e-02,
-3.982822e-01,-2.000121e-02,
-3.984839e-01,-1.615251e-02,
-3.986468e-01,-1.230195e-02,
-3.987708e-01,-8.449909e-03,
-3.988560e-01,-4.596728e-03,
-3.989024e-01,-7.427670e-04,
-3.989099e-01,3.111619e-03,
-3.988785e-01,6.966073e-03,
-3.988082e-01,1.082024e-02,
-3.986991e-01,1.467376e-02,
-3.985512e-01,1.852629e-02,
-3.983643e-01,2.237746e-02,
-3.981387e-01,2.622692e-02,
-3.978742e-01,3.007431e-02,
-3.975710e-01,3.391928e-02,
-3.972289e-01,3.776147e-02,
-3.968481e-01,4.160052e-02,
-3.964286e-01,4.543609e-02,
-3.959705e-01,4.926782e-02,
-3.954737e-01,5.309534e-02,
-3.949383e-01,5.691831e-02,
-3.943643e-01,6.073636e-02,
-3.937519e-01,6.454916e-02,
-3.931010e-01,6.835633e-02,
-3.924117e-01,7.215753e-02,
-3.916840e-01,7.595240e-02,
